2026-06-23 18:17:57 | INFO     | OrderBook-AAPL | Adding LIMIT SELL order: Order(id=f6eff12e-f906-4ed9-abed-569093909a7f, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.75, status=ACTIVE, time=2025-03-01T09:48:30+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=5d559554-2279-428f-babf-116695b05807, agent=retail_population_3, side=BUY, type=MARKET, qty=6/6, price=MKT, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Processing MARKET BUY order: Order(id=5d559554-2279-428f-babf-116695b05807, agent=retail_population_3, side=BUY, type=MARKET, qty=6/6, price=MKT, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Trade executed: retail_population_3 bought 6 shares from market_maker at $100.75 (Total: $604.50)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Order 3b510dd9-7308-4335-850d-e25d3c8f1bc3 removed from bids at price 100.5
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Order canceled: Order(id=3b510dd9-7308-4335-850d-e25d3c8f1bc3, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.5, status=CANCELED, time=2025-03-01T09:48:30+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=601c5e5f-c98a-459e-9109-cefb806146a5, agent=retail_population_1, side=SELL, type=MARKET, qty=1/1, price=MKT, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Processing MARKET SELL order: Order(id=601c5e5f-c98a-459e-9109-cefb806146a5, agent=retail_population_1, side=SELL, type=MARKET, qty=1/1, price=MKT, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | WARNING  | OrderBook-AAPL | Market order 601c5e5f-c98a-459e-9109-cefb806146a5 partially unfilled: 1 shares remaining
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=6cb2c5df-ced2-44e4-8246-d9073662cbe5, agent=retail_population_2, side=BUY, type=MARKET, qty=6/6, price=MKT, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Processing MARKET BUY order: Order(id=6cb2c5df-ced2-44e4-8246-d9073662cbe5, agent=retail_population_2, side=BUY, type=MARKET, qty=6/6, price=MKT, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Trade executed: retail_population_2 bought 6 shares from market_maker at $100.75 (Total: $604.50)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=50b6c09d-5d7d-4cb4-a36b-9fb349191052, agent=retail_population_5, side=BUY, type=MARKET, qty=8/8, price=MKT, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Processing MARKET BUY order: Order(id=50b6c09d-5d7d-4cb4-a36b-9fb349191052, agent=retail_population_5, side=BUY, type=MARKET, qty=8/8, price=MKT, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Trade executed: retail_population_5 bought 8 shares from market_maker at $100.75 (Total: $806.00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Order f6eff12e-f906-4ed9-abed-569093909a7f removed from asks at price 100.75
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Order canceled: Order(id=f6eff12e-f906-4ed9-abed-569093909a7f, agent=market_maker, side=SELL, type=LIMIT, qty=80/100, price=100.75, status=CANCELED, time=2025-03-01T09:48:30+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=ecd0108d-5ef6-4061-8e88-3a45a4b5ba6f, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.5, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=ecd0108d-5ef6-4061-8e88-3a45a4b5ba6f, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.5, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=119244b4-eab4-4170-9d1a-39946945308e, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.75, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:02 | INFO     | OrderBook-AAPL | Adding LIMIT SELL order: Order(id=119244b4-eab4-4170-9d1a-39946945308e, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.75, status=ACTIVE, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:07 | INFO     | OrderBook-AAPL | Order ecd0108d-5ef6-4061-8e88-3a45a4b5ba6f removed from bids at price 100.5
2026-06-23 18:18:07 | INFO     | OrderBook-AAPL | Order canceled: Order(id=ecd0108d-5ef6-4061-8e88-3a45a4b5ba6f, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.5, status=CANCELED, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:07 | INFO     | OrderBook-AAPL | Order 119244b4-eab4-4170-9d1a-39946945308e removed from asks at price 100.75
2026-06-23 18:18:07 | INFO     | OrderBook-AAPL | Order canceled: Order(id=119244b4-eab4-4170-9d1a-39946945308e, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.75, status=CANCELED, time=2025-03-01T09:49:00+00:00)
2026-06-23 18:18:07 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=c8e42c2c-df58-4d75-b8bc-bd6af2146a04, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.53, status=ACTIVE, time=2025-03-01T09:49:30+00:00)
2026-06-23 18:18:07 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=c8e42c2c-df58-4d75-b8bc-bd6af2146a04, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.53, status=ACTIVE, time=2025-03-01T09:49:30+00:00)
2026-06-23 18:18:07 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=33bc5b0c-1d7a-46fb-8767-5f4cf0f68e47, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.78, status=ACTIVE, time=2025-03-01T09:49:30+00:00)
2026-06-23 18:18:07 | INFO     | OrderBook-AAPL | Adding LIMIT SELL order: Order(id=33bc5b0c-1d7a-46fb-8767-5f4cf0f68e47, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.78, status=ACTIVE, time=2025-03-01T09:49:30+00:00)
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Order c8e42c2c-df58-4d75-b8bc-bd6af2146a04 removed from bids at price 100.53
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Order canceled: Order(id=c8e42c2c-df58-4d75-b8bc-bd6af2146a04, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.53, status=CANCELED, time=2025-03-01T09:49:30+00:00)
