2026-06-23 18:17:42 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:47:00+00:00
2026-06-23 18:17:47 | INFO     | SimulationClock | Completed tick 34: advanced to 2025-03-01 09:47:30+00:00 
2026-06-23 18:17:47 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:47:30+00:00
2026-06-23 18:17:47 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 35
2026-06-23 18:17:47 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:47:30+00:00
2026-06-23 18:17:52 | INFO     | SimulationClock | Completed tick 35: advanced to 2025-03-01 09:48:00+00:00 
2026-06-23 18:17:52 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:48:00+00:00
2026-06-23 18:17:52 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 36
2026-06-23 18:17:52 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:48:00+00:00
2026-06-23 18:17:57 | INFO     | SimulationClock | Completed tick 36: advanced to 2025-03-01 09:48:30+00:00 
2026-06-23 18:17:57 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:48:30+00:00
2026-06-23 18:17:57 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 37
2026-06-23 18:17:57 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:48:30+00:00
2026-06-23 18:18:02 | INFO     | SimulationClock | Completed tick 37: advanced to 2025-03-01 09:49:00+00:00 
2026-06-23 18:18:02 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:49:00+00:00
2026-06-23 18:18:02 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 38
2026-06-23 18:18:02 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:49:00+00:00
2026-06-23 18:18:07 | INFO     | SimulationClock | Completed tick 38: advanced to 2025-03-01 09:49:30+00:00 
2026-06-23 18:18:07 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:49:30+00:00
2026-06-23 18:18:07 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 39
2026-06-23 18:18:07 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:49:30+00:00
2026-06-23 18:18:12 | INFO     | SimulationClock | Completed tick 39: advanced to 2025-03-01 09:50:00+00:00 
2026-06-23 18:18:12 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:50:00+00:00
2026-06-23 18:18:12 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 40
2026-06-23 18:18:12 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:50:00+00:00
2026-06-23 18:18:17 | INFO     | SimulationClock | Completed tick 40: advanced to 2025-03-01 09:50:30+00:00 
2026-06-23 18:18:17 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:50:30+00:00
2026-06-23 18:18:17 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 41
2026-06-23 18:18:17 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:50:30+00:00
2026-06-23 18:18:22 | INFO     | SimulationClock | Completed tick 41: advanced to 2025-03-01 09:51:00+00:00 
2026-06-23 18:18:22 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:51:00+00:00
2026-06-23 18:18:22 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 42
2026-06-23 18:18:22 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:51:00+00:00
2026-06-23 18:18:27 | INFO     | SimulationClock | Completed tick 42: advanced to 2025-03-01 09:51:30+00:00 
2026-06-23 18:18:27 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:51:30+00:00
2026-06-23 18:18:27 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 43
2026-06-23 18:18:27 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:51:30+00:00
2026-06-23 18:18:32 | INFO     | SimulationClock | Completed tick 43: advanced to 2025-03-01 09:52:00+00:00 
2026-06-23 18:18:32 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:52:00+00:00
2026-06-23 18:18:32 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 44
2026-06-23 18:18:32 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:52:00+00:00
2026-06-23 18:18:37 | INFO     | SimulationClock | Completed tick 44: advanced to 2025-03-01 09:52:30+00:00 
2026-06-23 18:18:37 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:52:30+00:00
2026-06-23 18:18:37 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 45
2026-06-23 18:18:37 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:52:30+00:00
2026-06-23 18:18:42 | INFO     | SimulationClock | Completed tick 45: advanced to 2025-03-01 09:53:00+00:00 
2026-06-23 18:18:42 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:53:00+00:00
2026-06-23 18:18:42 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 46
2026-06-23 18:18:42 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:53:00+00:00
2026-06-23 18:18:47 | INFO     | SimulationClock | Completed tick 46: advanced to 2025-03-01 09:53:30+00:00 
2026-06-23 18:18:47 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:53:30+00:00
2026-06-23 18:18:47 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 47
2026-06-23 18:18:47 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:53:30+00:00
2026-06-23 18:18:52 | INFO     | SimulationClock | Completed tick 47: advanced to 2025-03-01 09:54:00+00:00 
2026-06-23 18:18:52 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:54:00+00:00
2026-06-23 18:18:52 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 48
2026-06-23 18:18:52 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:54:00+00:00
2026-06-23 18:18:57 | INFO     | SimulationClock | Completed tick 48: advanced to 2025-03-01 09:54:30+00:00 
2026-06-23 18:18:57 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:54:30+00:00
2026-06-23 18:18:57 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 49
2026-06-23 18:18:57 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:54:30+00:00
2026-06-23 18:19:02 | INFO     | SimulationClock | Completed tick 49: advanced to 2025-03-01 09:55:00+00:00 
2026-06-23 18:19:02 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:55:00+00:00
2026-06-23 18:19:02 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 50
2026-06-23 18:19:02 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:55:00+00:00
2026-06-23 18:19:07 | INFO     | SimulationClock | Completed tick 50: advanced to 2025-03-01 09:55:30+00:00 
2026-06-23 18:19:07 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:55:30+00:00
2026-06-23 18:19:07 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 51
2026-06-23 18:19:07 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:55:30+00:00
2026-06-23 18:19:12 | INFO     | SimulationClock | Completed tick 51: advanced to 2025-03-01 09:56:00+00:00 
2026-06-23 18:19:12 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:56:00+00:00
2026-06-23 18:19:12 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 52
2026-06-23 18:19:12 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:56:00+00:00
